;movie_title;HCA
0;Avatar ;159
1;Pirates of the Caribbean: At World's End ;160
2;Spectre ;135
3;The Dark Knight Rises ;144
4;Star Wars: Episode VII - The Force Awakens             ;70
5;John Carter ;155
6;Spider-Man 3 ;161
7;Tangled ;120
8;Avengers: Age of Ultron ;155
9;Harry Potter and the Half-Blood Prince ;124
10;Batman v Superman: Dawn of Justice ;155
11;Superman Returns ;155
12;Quantum of Solace ;164
13;Pirates of the Caribbean: Dead Man's Chest ;160
14;The Lone Ranger ;164
15;Man of Steel ;159
16;The Chronicles of Narnia: Prince Caspian ;126
17;The Avengers ;155
18;Pirates of the Caribbean: On Stranger Tides ;160
19;Men in Black 3 ;125
20;The Hobbit: The Battle of the Five Armies ;146
21;The Amazing Spider-Man ;160
22;Robin Hood ;152
23;The Hobbit: The Desolation of Smaug ;146
24;The Golden Compass ;124
25;King Kong ;153
26;Titanic ;101
27;Captain America: Civil War ;155
28;Battleship ;137
29;Jurassic World ;137
30;Skyfall ;135
31;Spider-Man 2 ;161
32;Iron Man 3 ;155
33;Alice in Wonderland ;124
34;X-Men: The Last Stand ;138
35;Monsters University ;122
36;Transformers: Revenge of the Fallen ;155
37;Transformers: Age of Extinction ;155
38;Oz the Great and Powerful ;124
39;The Amazing Spider-Man 2 ;159
40;TRON: Legacy ;155
41;Cars 2 ;108
42;Green Lantern ;155
43;Toy Story 3 ;122
44;Terminator Salvation ;155
45;Furious 7 ;58
46;World War Z ;4
47;X-Men: Days of Future Past ;138
48;Star Trek Into Darkness ;155
49;Jack the Giant Slayer ;146
50;The Great Gatsby ;101
51;Prince of Persia: The Sands of Time ;161
52;Pacific Rim ;155
53;Transformers: Dark of the Moon ;155
54;Indiana Jones and the Kingdom of the Crystal Skull ;160
55;The Good Dinosaur ;122
56;Brave ;122
57;Star Trek Beyond ;137
58;WALL·E ;90
59;Rush Hour 3 ;80
60;2012 ;155
61;A Christmas Carol ;103
62;Jupiter Ascending ;155
63;The Legend of Tarzan ;153
64;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ;124
65;X-Men: Apocalypse ;155
66;The Dark Knight ;57
67;Up ;132
68;Monsters vs. Aliens ;127
69;Iron Man ;155
70;Hugo ;134
71;Wild Wild West ;157
72;The Mummy: Tomb of the Dragon Emperor ;4
73;Suicide Squad ;157
74;Evan Almighty ;112
75;Edge of Tomorrow ;155
76;Waterworld ;137
77;G.I. Joe: The Rise of Cobra ;137
78;Inside Out ;133
79;The Jungle Book ;103
80;Iron Man 2 ;155
81;Snow White and the Huntsman ;158
82;Maleficent ;161
83;Dawn of the Planet of the Apes ;149
84;The Lovers ;161
85;47 Ronin ;158
86;Captain America: The Winter Soldier ;155
87;Shrek Forever After ;122
88;Tomorrowland ;126
89;Big Hero 6 ;127
90;Wreck-It Ralph ;129
91;The Polar Express ;123
92;Independence Day: Resurgence ;155
93;How to Train Your Dragon ;123
94;Terminator 3: Rise of the Machines ;156
95;Guardians of the Galaxy ;155
96;Interstellar ;149
97;Inception ;137
98;Godzilla Resurgence ;2
99;The Hobbit: An Unexpected Journey ;146
100;The Fast and the Furious ;58
101;The Curious Case of Benjamin Button ;111
102;X-Men: First Class ;155
103;The Hunger Games: Mockingjay - Part 2 ;90
104;The Sorcerer's Apprentice ;126
105;Poseidon ;27
106;Alice Through the Looking Glass ;124
107;Shrek the Third ;122
108;Warcraft ;160
109;Terminator Genisys ;155
110;The Chronicles of Narnia: The Voyage of the Dawn Treader ;124
111;Pearl Harbor ;30
112;Transformers ;155
113;Alexander ;30
114;Harry Potter and the Order of the Phoenix ;124
115;Harry Potter and the Goblet of Fire ;124
116;Hancock ;163
117;I Am Legend ;14
118;Charlie and the Chocolate Factory ;125
119;Ratatouille ;131
120;Batman Begins ;164
121;Madagascar: Escape 2 Africa ;128
122;Night at the Museum: Battle of the Smithsonian ;125
123;X-Men Origins: Wolverine ;138
124;The Matrix Revolutions ;156
125;Frozen ;120
126;The Matrix Reloaded ;156
127;Thor: The Dark World ;160
128;Mad Max: Fury Road ;137
129;Angels & Demons ;47
130;Thor ;160
131;Bolt ;133
132;G-Force ;127
133;Wrath of the Titans ;160
134;Dark Shadows ;113
135;Mission: Impossible - Rogue Nation ;135
136;The Wolfman ;7
138;Bee Movie ;132
139;Kung Fu Panda 2 ;128
140;The Last Airbender ;126
141;Mission: Impossible III ;135
142;White House Down ;28
143;Mars Needs Moms ;127
144;Flushed Away ;132
145;Pan ;124
146;Mr. Peabody & Sherman ;129
147;Troy ;146
148;Madagascar 3: Europe's Most Wanted ;132
149;Die Another Day ;135
150;Ghostbusters ;157
151;Armageddon ;137
152;Men in Black II ;125
153;Beowulf ;123
154;Kung Fu Panda 3 ;128
155;Mission: Impossible - Ghost Protocol ;135
156;Rise of the Guardians ;123
157;Fun with Dick and Jane ;73
158;The Last Samurai ;30
159;Exodus: Gods and Kings ;158
160;Star Trek ;155
161;Spider-Man ;161
162;How to Train Your Dragon 2 ;128
163;Gods of Egypt ;160
164;Stealth ;137
165;Watchmen ;141
166;Lethal Weapon 4 ;58
167;Hulk ;156
168;G.I. Joe: Retaliation ;137
169;Sahara ;145
170;Final Fantasy: The Spirits Within ;161
171;Captain America: The First Avenger ;155
172;The World Is Not Enough ;135
173;Master and Commander: The Far Side of the World ;152
174;The Twilight Saga: Breaking Dawn - Part 2 ;146
175;Happy Feet 2 ;121
176;The Incredible Hulk ;155
177;Miami Vice             ;49
178;The BFG ;124
179;The Revenant ;151
180;Turbo ;108
181;Rango ;132
182;Penguins of Madagascar ;132
183;The Bourne Ultimatum ;46
184;Kung Fu Panda ;128
185;Ant-Man ;157
186;The Hunger Games: Catching Fire ;143
188;Home ;129
189;War of the Worlds ;143
190;Bad Boys II ;80
191;Puss in Boots ;128
192;Salt ;46
193;Noah ;158
194;The Adventures of Tintin ;126
195;Harry Potter and the Prisoner of Azkaban ;124
196;Australia ;154
197;After Earth ;155
198;Dinosaur ;132
199;Harry Potter and the Deathly Hallows: Part II ;3
200;Night at the Museum: Secret of the Tomb ;125
201;Megamind ;129
202;Harry Potter and the Sorcerer's Stone ;124
203;R.I.P.D. ;78
205;Pirates of the Caribbean: The Curse of the Black Pearl ;160
206;Harry Potter and the Deathly Hallows: Part I ;84
207;The Hunger Games: Mockingjay - Part 1 ;143
208;The Da Vinci Code ;47
209;Rio 2 ;121
210;X-Men 2 ;138
211;Fast Five ;58
212;Sherlock Holmes: A Game of Shadows ;46
213;Clash of the Titans ;160
214;Total Recall ;156
